                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3779,                 3.4788,                 1.3093,                0.34199,                0.05723,                0.08402,                0.05914,                0.99138,                 2.4898,                 1.1224,               0.070857,              0.0032381,              0.0032381
                      1,                 1.1308,                 1.6535,                 1.1217,                0.97875,                0.09019,                 0.0835,                0.05868,                 1.0372,                 2.0139,                 1.0604,               0.040792,              0.0065064,              0.0065064
                      2,                 1.1721,                 1.4396,                 1.1043,                0.89688,                0.09399,                0.09154,                0.06392,                 1.0771,                  1.611,                 1.0517,               0.010661,              0.0097086,              0.0097086
                      3,                 1.1466,                 1.3498,                 1.0973,                0.81209,                0.11563,                0.10409,                0.07449,                 1.0615,                 1.3898,                 1.0753,               0.009703,               0.009703,               0.009703
                      4,                 1.1044,                  1.246,                 1.0732,                0.84271,                0.11472,                0.12053,                0.08236,                 1.1684,                 1.2732,                  1.096,               0.009703,               0.009703,               0.009703
                      5,                 1.0726,                   1.23,                 1.0557,                0.83624,                0.14905,                0.14872,                 0.1104,                0.99142,                 1.2352,                 1.0542,               0.009604,               0.009604,               0.009604
                      6,                 1.0295,                 1.1704,                 1.0486,                 0.5803,                0.16536,                0.16994,                0.11687,                 1.1491,                 1.1373,                 1.0922,               0.009505,               0.009505,               0.009505
                      7,                 1.0379,                 1.0955,                 1.0362,                0.76517,                0.22388,                0.26273,                0.19238,                0.95712,                 0.9777,                 1.0371,               0.009406,               0.009406,               0.009406
                      8,                 1.0127,                 1.0695,                   1.03,                0.98253,                0.24193,                 0.2749,                0.20889,                0.94727,                0.90226,                 1.0346,               0.009307,               0.009307,               0.009307
                      9,                0.99802,                 1.0329,                 1.0295,                 0.9036,                0.27023,                0.29151,                0.21002,                 1.0504,                0.88272,                 1.0926,               0.009208,               0.009208,               0.009208
                     10,                0.99851,                 1.0099,                 1.0236,                0.86458,                 0.3383,                0.35274,                0.25723,                0.93608,                0.81854,                 1.0309,               0.009109,               0.009109,               0.009109
                     11,                0.97841,                0.96208,                 1.0179,                0.90241,                0.34384,                0.37249,                0.27137,                  1.016,                0.76731,                 1.0331,                0.00901,                0.00901,                0.00901
                     12,                0.96399,                0.91759,                 1.0052,                0.89152,                0.36663,                 0.3848,                0.27809,                 1.0013,                0.76921,                 1.0487,               0.008911,               0.008911,               0.008911
                     13,                0.96124,                0.92611,                 1.0049,                0.90325,                  0.353,                0.43494,                0.32125,                 0.9703,                0.71555,                 1.0433,               0.008812,               0.008812,               0.008812
                     14,                0.95556,                0.88364,                 1.0036,                0.71196,                0.46498,                0.45313,                0.33067,                0.99395,                0.71142,                 1.0349,               0.008713,               0.008713,               0.008713
                     15,                0.94604,                0.84586,                0.99652,                0.69294,                0.59358,                0.50293,                0.37565,                0.96136,                0.67617,                 1.0257,               0.008614,               0.008614,               0.008614
                     16,                0.92052,                 0.8255,                0.99404,                0.74076,                0.53687,                0.53217,                0.39911,                0.95036,                0.64872,                 1.0262,               0.008515,               0.008515,               0.008515
                     17,                0.91838,                0.79582,                0.99801,                 0.7595,                0.59923,                0.55728,                0.41775,                0.98863,                0.68965,                 1.0274,               0.008416,               0.008416,               0.008416
                     18,                0.92061,                0.77269,                0.98379,                0.84963,                 0.5918,                0.64601,                0.48676,                0.91644,                 0.6343,                 1.0168,               0.008317,               0.008317,               0.008317
                     19,                0.91257,                0.76237,                0.99064,                0.85186,                0.65212,                0.62723,                0.47628,                0.89866,                0.59852,                 1.0042,               0.008218,               0.008218,               0.008218
                     20,                0.90538,                0.75976,                0.98432,                0.90618,                0.58933,                0.65808,                0.48933,                0.96133,                 0.6161,                 1.0299,               0.008119,               0.008119,               0.008119
                     21,                0.90385,                0.74388,                0.98202,                0.82606,                0.67058,                0.72815,                0.55115,                0.94333,                0.58391,                 1.0329,                0.00802,                0.00802,                0.00802
                     22,                0.89823,                0.71832,                0.97696,                0.77893,                0.72682,                0.72298,                0.55068,                0.90018,                0.58151,                 1.0174,               0.007921,               0.007921,               0.007921
                     23,                0.89514,                0.72415,                0.97843,                0.78231,                0.77524,                0.75642,                0.57084,                0.93773,                0.59573,                 1.0224,               0.007822,               0.007822,               0.007822
                     24,                0.88116,                 0.6925,                0.97595,                0.90358,                 0.6488,                0.74009,                0.55849,                0.91408,                0.54677,                 1.0098,               0.007723,               0.007723,               0.007723
                     25,                0.87184,                0.68889,                0.97396,                0.88728,                0.69528,                0.77381,                0.57715,                0.90642,                0.55996,                 1.0155,               0.007624,               0.007624,               0.007624
                     26,                0.88411,                0.70129,                0.97657,                0.90435,                0.71128,                0.80016,                0.60282,                0.91855,                0.53085,                 1.0137,               0.007525,               0.007525,               0.007525
                     27,                0.87705,                0.67123,                0.97255,                0.91308,                 0.6623,                0.73069,                0.55107,                0.89277,                0.54903,                 1.0105,               0.007426,               0.007426,               0.007426
                     28,                0.85656,                0.66876,                0.97369,                0.71647,                 0.7259,                0.71612,                 0.5481,                0.87818,                0.53267,                0.99061,               0.007327,               0.007327,               0.007327
                     29,                0.86202,                0.63347,                0.96391,                 0.7847,                0.82568,                0.83022,                0.63761,                0.92712,                0.52483,                  1.018,               0.007228,               0.007228,               0.007228
                     30,                0.85466,                0.63693,                0.96336,                0.76576,                0.81907,                 0.8178,                0.62682,                0.87422,                0.52217,                0.99051,               0.007129,               0.007129,               0.007129
                     31,                0.84472,                  0.646,                0.97028,                0.68251,                0.85163,                0.81027,                0.62344,                0.87638,                0.51851,                 1.0025,                0.00703,                0.00703,                0.00703
                     32,                0.85207,                0.64348,                0.96339,                0.71694,                0.84214,                0.79959,                0.60447,                0.88299,                0.52948,                0.99118,               0.006931,               0.006931,               0.006931
